Code,Description,Free Stock,Due Date,Due Date Qty
A09,4FT ASTRO BEDSTEAD -- BOXES = 3,0.00,,
A10,4'6 ASTRO BEDSTEAD -- BOXES = 3,0.00,,
A30,4'6 ANDROMEDA GREY BEDSTEAD -- BOXES = 3,0.00,16/08/2020,169
A63,5FT ANANKE (VERONA) GREY BEDSTEAD -- BOXES = 3,0.00,,
A70,4'6 ANANKE (VERONA) TAUPE BEDSTEAD -- BOXES = 3,0.00,,
A71,5FT ANANKE (VERONA) TAUPE BEDSTEAD -- BOXES = 3,14.00,,
C20,4'6 CALLISTO-LYRA BEDSTEAD -- BOXES = 2,50.00,,
C21,5FT CALLISTO-LYRA BEDSTEAD -- BOXES = 2,30.00,,
C60,3FT CAPRICORN PINE BEDSTEAD -- BOXES = 2,274.00,,
C61,4FT CAPRICORN PINE BEDSTEAD -- BOXES = 2,26.00,31/08/2020,65
C62,4'6 CAPRICORN PINE BEDSTEAD -- BOXES = 2,99.00,,
C63,5FT CAPRICORN PINE BEDSTEAD -- BOXES = 2,10.00,31/08/2020,75
D04,5FT DIONE (DURRINGTON) SLATE BEDSTEAD -- BOXES = 4,11.00,,
D09,4'6 DORADO BLACK BED -- BOXES = 3,-4.00,31/08/2020,15
D10,5FT DORADO BLACK BED -- BOXES = 3,-2.00,31/08/2020,20
D11,6FT DORADO BLACK BED -- BOXES = 3,0.00,31/08/2020,25
D12,4'6 DORADO WHITE BED -- BOXES = 3,19.00,,
D13,5FT DORADO WHITE BED -- BOXES = 3,0.00,,
D14,6FT DORADO WHITE BED -- BOXES = 3,16.00,31/08/2020,15
D16,DESPINA (COLUMBUS) WHITE GUEST BED -- BOXES = 2,21.00,,
D17,DESPINA (COLUMBUS) WHITE DRAWERS -- BOXES = 1,21.00,,
D20,DESPINA (COLUMBUS) GREY DRAWERS -- BOXES = 1,5.00,,
E21,4'6 EPSILON MINK BEDSTEAD -- BOXES = 3,12.00,16/06/2020,8
E22,5FT EPSILON MINK BEDSTEAD -- BOXES = 3,16.00,16/06/2020,8
E23,6FT EPSILON MINK BEDSTEAD -- BOXES=3,8.00,16/06/2020,8
E30,4'6 EPSILON GREY BEDSTEAD -- BOXES = 3,14.00,,
E32,6FT EPSILON GREY BEDSTEAD -- BOXES = 3,1.00,,
E33,4'6 EPSILON GREY *STORAGE* BED -- BOXES = 4,0.00,,
E38,6FT EPSILON MINK *STORAGE* BED -- BOXES = 4,1.00,,
EL-C01,4'6 CEZANNE GREY MARL BED -- BOXES = 4,11.00,31/08/2020,30
EL-C02,5FT CEZANNE GREY MARL BED -- BOXES = 4,-7.00,31/08/2020,50
EL-C03,4'6 CEZANNE MINK BED -- BOXES = 4,16.00,31/08/2020,15
